player_id_cat,gender,date,deposit_approved_sum,withdrawal_approved_sum,turnover_cash_sum,winning_cash_sum,result_cash_sum,NGR_sum,bonus_cash_sum,session_sum
17,male,2013-11-23,59,0,176,117,-59,57,0,5621
17,male,2013-11-25,59,0,179,120,-59,57,0,3874
18,male,2013-06-22,0,0,1,0,-1,1,0,1803
19,female,2013-05-29,499,0,1106,610,-496,497,0,3617
19,female,2013-05-30,0,0,0,0,0,0,0,1891
19,female,2013-06-02,0,0,0,0,0,0,0,1894
19,female,2013-06-04,0,0,2,0,-2,2,0,1912
19,female,2013-06-26,89,0,226,137,-89,88,0,2453
19,female,2013-07-31,0,0,0,0,0,0,16,1859
19,female,2013-08-13,0,0,0,0,0,0,20,1851
19,female,2013-09-26,235,0,1732,1497,-235,231,0,4333
19,female,2013-10-11,116,0,196,79,-117,117,0,2560
19,female,2013-10-25,117,0,686,569,-117,117,0,3826
19,female,2013-10-29,58,0,306,247,-59,59,0,3341
19,female,2013-11-04,59,0,88,30,-58,58,0,2632
19,female,2013-11-26,59,0,121,61,-60,60,0,2356
19,female,2013-12-23,60,0,808,752,-56,56,0,2707
19,female,2013-12-25,90,0,113,19,-94,94,0,2137
19,female,2013-12-27,150,0,364,213,-151,151,0,2801
20,male,2013-09-25,133,0,261,138,-123,124,6,4513
20,male,2013-09-27,74,0,145,63,-82,82,33,7845
20,male,2013-09-28,308,0,1720,1412,-308,308,0,24709
20,male,2013-10-17,29,0,358,329,-29,29,32,7105
20,male,2013-10-19,0,0,0,0,0,0,0,2393
20,male,2013-10-25,44,0,59,15,-44,44,0,3224
20,male,2013-11-13,0,0,0,0,0,0,0,1915
20,male,2013-11-15,59,0,128,69,-59,59,0,7909
20,male,2013-12-03,0,0,0,0,0,0,0,3524
20,male,2013-12-05,30,0,100,70,-30,30,0,11533
20,male,2013-12-08,60,0,114,54,-60,60,0,12397
20,male,2013-12-16,0,0,0,0,0,0,0,2654
20,male,2013-12-22,30,0,1244,1214,-30,30,0,32397
20,male,2013-12-23,0,0,0,0,0,0,0,5
20,male,2013-12-24,330,0,3283,2953,-330,330,28,41089
20,male,2013-12-25,45,0,245,209,-36,36,0,13234
20,male,2013-12-26,68,0,140,63,-77,78,0,11016
20,male,2013-12-27,0,0,0,0,0,0,0,1848
20,male,2013-12-30,30,0,247,217,-30,30,0,7249
21,female,2013-02-25,30,0,119,89,-30,30,0,2711
21,female,2013-04-25,30,0,36,8,-28,28,0,1991
22,male,2013-08-07,293,0,25398,25187,-211,200,0,26972
23,male,2013-05-03,0,0,1,0,-1,0,0,2035
23,male,2013-05-05,0,0,0,0,0,0,0,1854
24,female,2013-04-09,30,0,72,43,-29,30,0,2700
24,female,2013-04-14,30,0,107,76,-31,30,45,3126
24,female,2013-10-26,59,0,193,136,-57,57,0,2509
25,female,2013-05-29,220,0,1827,1578,-249,215,0,10517
25,female,2013-06-03,30,0,39,9,-30,30,0,2625
25,female,2013-06-16,0,0,1,0,-1,1,0,2091
25,female,2013-06-29,208,0,2218,2015,-203,203,0,4606
25,female,2013-06-30,45,1307,1538,2796,1258,-1257,0,8185
25,female,2013-07-01,164,0,401,238,-163,163,0,2506
25,female,2013-07-02,59,0,98,38,-60,60,0,3329
25,female,2013-07-03,134,0,566,442,-124,124,0,2738
25,female,2013-07-30,0,0,23,13,-10,10,0,1978
25,female,2013-08-02,117,0,553,507,-46,46,21,3967
25,female,2013-08-04,0,0,91,30,-61,62,27,1975
25,female,2013-08-08,116,0,238,242,4,-4,50,5038
25,female,2013-08-09,0,0,528,398,-130,130,0,2333
25,female,2013-08-10,73,0,220,148,-72,73,0,2245
25,female,2013-08-12,88,0,169,265,96,-96,0,2028
25,female,2013-08-13,0,0,500,536,36,-36,0,2186
25,female,2013-08-14,0,0,429,208,-221,221,0,2292
25,female,2013-08-28,117,0,2892,2774,-118,118,0,7455
25,female,2013-08-30,73,0,487,415,-72,73,0,2278
25,female,2013-09-29,59,0,85,26,-59,59,0,1958
25,female,2013-10-25,88,352,142,427,285,-285,0,2097
26,female,2013-06-05,680,0,5861,5180,-681,680,0,16568
26,female,2013-06-06,356,267,416,327,-89,89,34,10157
26,female,2013-06-07,296,0,733,437,-296,296,0,3961
27,male,2013-05-27,324,0,1882,1559,-323,323,0,17637
27,male,2013-05-28,0,0,0,0,0,0,0,3192
29,male,2013-03-28,241,0,19082,17438,-1644,-102,0,49359
29,male,2013-03-29,151,0,7077,6583,-494,494,0,33148
29,male,2013-03-30,179,0,499,320,-179,178,0,12478
29,male,2013-03-31,150,0,567,416,-151,151,0,4174
29,male,2013-05-05,0,0,0,0,0,0,27,4329
29,male,2013-05-12,1093,0,7985,6993,-992,749,0,41350
29,male,2013-05-13,359,0,5807,5346,-461,453,37,14756
29,male,2013-06-05,47,0,80,34,-46,47,0,2394
29,male,2013-06-07,232,0,2731,2498,-233,228,0,18811
29,male,2013-06-08,515,0,3574,3095,-479,270,25,38756
29,male,2013-06-09,115,0,3179,3104,-75,-180,0,23268
29,male,2013-06-10,68,0,2059,2314,255,-257,0,28297
29,male,2013-06-11,0,0,26518,30606,4088,-4388,0,71418
29,male,2013-07-10,30,0,35,6,-29,29,0,1839
29,male,2013-07-27,258,0,893,635,-258,246,0,15512
29,male,2013-07-31,206,0,431,257,-174,156,0,4019
29,male,2013-08-01,103,0,196,62,-134,134,0,3370
29,male,2013-08-05,205,0,318,112,-206,196,0,9451
29,male,2013-08-18,117,0,687,620,-67,67,0,8181
29,male,2013-08-19,59,0,15362,15253,-109,-717,0,62607
29,male,2013-08-20,307,0,663,356,-307,253,0,24310
29,male,2013-08-23,0,0,0,0,0,0,1,1884
29,male,2013-08-25,0,0,0,0,0,0,4,2544
29,male,2013-08-26,59,0,5473,7592,2119,-2119,0,19474
29,male,2013-08-28,0,0,25868,25612,-256,255,0,43515
