player_id_cat,deposit_approved_sum,withdrawal_approved_sum,turnover_cash_sum,winning_cash_sum,result_cash_sum,NGR_sum,bonus_cash_sum,session_sum,female,male
3433,1007,1270,3441,3704,263,-265,108,39781,1.0,0.0
3434,59,0,279,219,-60,58,36,10295,0.0,1.0
3435,235,0,1203,968,-235,232,41,17923,0.0,1.0
3437,60,0,156,96,-60,60,0,3362,1.0,0.0
3439,75,0,102,27,-75,75,0,4213,1.0,0.0
3440,2303,1356,11824,10878,-946,944,38,49732,1.0,0.0
3441,298,0,2945,2653,-292,275,43,4856,0.0,1.0
3442,6626,3853,63252,60691,-2561,1514,38,107342,1.0,0.0
3443,31,0,342,272,-70,26,139,77910,0.0,1.0
3446,59,0,122,63,-59,59,0,3633,0.0,1.0
3448,451,0,1986,1535,-451,451,19,4861,0.0,1.0
3449,150,179,178,208,30,-35,40,16999,0.0,1.0
3450,29,0,72,42,-30,28,0,4540,0.0,1.0
3451,5630,2273,41112,37761,-3351,3302,0,93325,1.0,0.0
3452,59,0,98,41,-57,57,0,2182,0.0,1.0
3453,46843,35168,431800,420032,-11768,11649,1271,3022393,0.0,1.0
3454,176,0,249,73,-176,176,0,700,0.0,1.0
3456,3855,692,11254,8088,-3166,3163,130,48564,1.0,0.0
3457,30,0,79,46,-33,24,0,3920,1.0,0.0
3458,88,146,224,282,58,-59,0,4532,1.0,0.0
3459,178,0,1387,1209,-178,178,0,16482,1.0,0.0
3460,4512,2097,24689,22274,-2415,2414,52,71832,1.0,0.0
3461,481,0,2527,2048,-479,480,0,6009,0.0,1.0
3462,0,0,8,4,-4,5,42,2134,0.0,1.0
3463,12139,2707,142280,132839,-9441,9439,106,168849,0.0,1.0
3466,89,177,157,245,88,-88,28,6512,1.0,0.0
3471,162,0,436,272,-164,162,13,17034,0.0,1.0
3472,30,0,67,37,-30,30,31,2163,0.0,1.0
3474,30,0,52,22,-30,17,0,4323,1.0,0.0
3477,176,0,239,65,-174,166,0,2453,0.0,1.0
